id,datetime_added,journal,search_term,datetime_article,category,type,title,link,nb_of_comments
AL20240927220300,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 22:03:00,turisme,article,L’Skal Club reconeix la importància del Festival de Jazz d’Escaldes en el Dia mundial del Turisme,https://www.altaveu.com/actualitat/turisme/skaal-club-reconeix-importancia-festival-jazz-escaldes-en-dia-mundial-turisme_60639_102.html,0
AL20240927212300,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 21:23:00,reportatge,report,El Caldes Festival comença passat per aigua (i no és termal),https://www.altaveu.com/reportatges/caldes-festival-comenca-passat-aigua-i-no-es-termal_60658_102.html,0
AL20240927174300,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 17:43:00,transport,article,Lleugeres modificacions en els horaris del bus lliure a partir del dilluns per millorar el servei,https://www.altaveu.com/actualitat/transport/lleugeres-modificacions-en-horaris-bus-lliure-partir-dilluns-millorar-servei_60651_102.html,2
AL20240927173000,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 17:30:00,afers exteriors,article,Espot fa a l’ONU una crida implícita a Rússia i Israel a acatar “el dret internacional humanitari”,https://www.altaveu.com/actualitat/afers-exteriors/espot-fa-onu-crida-implicita-russia-israel-acatar-el-dret-internacional-humanitari_60649_102.html,7
AL20240927141900,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 14:19:00,reportatge,report,‘Beautiful boy’: l’excusa per obrir el diàleg sobre la salut mental i mantenir-lo tot l’any,https://www.altaveu.com/reportatges/beautiful-boy-excusa-obrir-dialeg-sobre-salut-mental-mantenir-lo-tot-any_60645_102.html,0
AL20240927131900,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 13:19:00,economia,article,Andorra exposa el projecte d’una àrea d’innovació a escala país en un congrés a Nairobi,https://www.altaveu.com/actualitat/economia/andorra-exposa-projecte-area-innovacio-escala-pais-en-congres-nairobi_60642_102.html,2
AL20240927114200,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 11:42:00,esport,article,Andorra no apareix en el calendari provisional de proves del Mundial de TrialGP del 2025,https://www.altaveu.com/actualitat/esport/andorra-no-apareix-en-calendari-provisional-proves-mundial-trialgp-2025_60638_102.html,13
AL20240927112200,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 11:22:00,esport,article,Ferran Costa no es mulla sobre el tema de l’estadi: “Confio molt en tothom que forma part del club”,https://www.altaveu.com/actualitat/esport/ferran-costa-no-es-mulla-sobre-tema-estadi-confio-molt-en-tothom-forma-part-club_60637_102.html,0
AL20240927073000,2024-09-27 22:37:10.335863,altaveu,el,2024-09-27 07:30:00,opinio,opinion,El camí cap a una administració més eficaç,https://www.altaveu.com/opinio/cami-cap-administracio-mes-eficac_60623_102.html,0
AL20240927213400,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 21:34:00,politica,article,La llei òmnibus dona ales al moviment polític de dretes que voldria constituir-se com a partit,https://www.altaveu.com/actualitat/politica/llei-omnibus-dona-ales-moviment-politic-dretes-voldria-constituir-se-com-partit_60659_102.html,3
AL20240927183300,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 18:33:00,successos,article,Detinguts dos homes a la Seu d’Urgell per tràfic de substàncies estupefaents,https://www.altaveu.com/actualitat/successos/detinguts-dos-homes-seu-urgell-trafic-substancies-estupefaents_60652_102.html,0
AL20240927171200,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 17:12:00,esport,article,La FIS proposa Andorra com a seu de la Copa del Món per als anys 2026 i 2027,https://www.altaveu.com/actualitat/esport/fis-proposa-andorra-com-seu-copa-mon-anys-2026-2027_60648_102.html,1
AL20240927133300,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 13:33:00,tribunals,article,Condemnada a sis anys de presó i una multa de 40.000 euros ‘la cambrera de la coca’,https://www.altaveu.com/actualitat/tribunals/tribunal-corts-rebaixa-sis-anys-pena-la-cambrera-coca-multa-40000_60643_102.html,0
AL20240927130100,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 13:01:00,justicia,article,L’atracador de la gasolinera d’Encamp s’aferra a què no hi va haver perill per demanar menys pena,https://www.altaveu.com/actualitat/justicia/atracador-gasolinera-encamp-aferra-no-hi-va-haver-perill-demanar-menys-pena_60641_102.html,2
AL20240927125100,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 12:51:00,parroquies,article,La mina de Llorts incrementa visitants a l’estiu i obrirà els caps de setmana fins al 8 de desembre,https://www.altaveu.com/actualitat/parroquies/mina-llorts-incrementa-visitants-estiu-obrira-caps-setmana-fins-8-desembre_60640_102.html,0
AL20240927101900,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 10:19:00,estacions,article,Sortida pactada a la direcció general de Pal-Arinsal,https://www.altaveu.com/actualitat/estacions/sortida-pactada-direccio-general-pal-arinsal_60636_102.html,14
AL20240927094400,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 09:44:00,successos,article,Un turista circulava amb més del doble d’alcohol permès amb la dona i els fills menors al cotxe,https://www.altaveu.com/actualitat/successos/turista-circulava-mes-doble-alcohol-permes-dona-fills-menors-cotxe_60635_102.html,1
AL20240927091300,2024-09-27 22:37:10.335863,altaveu,la,2024-09-27 09:13:00,societat,article,“No es pot demanar a l’hospital de la Seu que es faci càrrec d’allò que Andorra prohibeix”,https://www.altaveu.com/actualitat/societat/no-es-pot-demanar-hospital-seu-es-faci-carrec-allo-andorra-prohibeix_60634_102.html,6
