index,topic,article_id,comment_id,comment_content,article_link,article_title
0,UE,DI20240908104400,DI20240908104400-15993681,"Prou copiar polítiques espanyoles, aquí no vam votar socialisme.     Quan pujin impostos, tots a plorar……",https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,"Ensenyat demana un debat més ""racional"" per l'acord d'associació"
1,UE,DI20240912164200,DI20240912164200-16027916,"Sabem que el peixet el teniu venut abans d´arribar a port, us estarem observant.",https://www.diariandorra.ad/nacional/240912/espot-descarta-referendum-ue-per-primavera-2025_157992.html,Espot no descarta el referèndum de la UE per a la primavera del 2025
2,UE,DI20240927054700,DI20240927054700-17077602,"L'OMS calcula que hi ha onze suïcidis al dia a l'Estat espanyol i uns 220 intents, a més és el país líder en el consum d'ansiolítics entre adolescents, anem pel mateix camí?",https://www.diariandorra.ad/nacional/240927/salut-mental-aten-mes-3-000-adults-2023_158879.html,Salut mental atén més de 3.000 adults el 2023
3,UE,DI20240907060700,DI20240907060700-15987270,jajaja,https://www.diariandorra.ad/nacional/240907/carrils-per-comunitaris-les-dues-fronteres_157664.html,Carrils per a no comunitaris a les dues fronteres
4,UE,DI20240925070000,DI20240925070000-16390039,"Ensumo un pre-manifest de pre-capdegovern d'una esquerra il·lustrada, teòrica i pueril a més no poder. Ara estem al foc, i amb tu estarem a les brases. Per cert, expressar que a Andorra som una família és de traca... Per enmarcar, Cerni.!",https://www.diariandorra.ad/opinio/la-tribuna/240925/andorra-casa-vostra_158763.html,"Andorra, casa nostra"
5,UE,DI20240918054400,DI20240918054400-16312586,"Sense marxa entere,sense fre, amb la direcció clavada i camí de cortes. Però Wspot tranquil perqué ho contempla des de la distancia.",https://www.diariandorra.ad/nacional/240918/espot-avisa-intervencio-dels-pisos-te-marxa-enrere_158321.html,Espot avisa que la intervenció dels pisos no té marxa enrere
6,UE,DI20240909053700,DI20240909053700-15997891,"la pena de tot plegat és que la totalitat dels funcionaris, que es pensen que els diners cauen del cel, votaran que sí, i els que treballem i aportem riquesa al país ens ho haurem de menjar amb patates...",https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,Espot reconeix “incògnites” amb la UE
7,UE,DI20240921113200,DI20240921113200-16343838,Que s'ocupin de casa seva que bastanta feina tenen!,https://www.diariandorra.ad/nacional/240921/strzoda-defensa-l-acord-d-associacio-i-alerta-dels-riscos-rebutjar_158527.html,Strzoda defensa l’acord d’associació i alerta dels riscos de rebutjar-lo
8,UE,DI20240908104400,DI20240908104400-15985595,¿Qué parte del “NO” al acuerdo es lo que no se entiende?,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,"Ensenyat demana un debat més ""racional"" per l'acord d'associació"
9,UE,DI20240926060300,DI20240926060300-17063942,"EXACTE, de tots els edificis nous, cap és d'oficines, que és on haurien d'anar tots aquests negocis, no pas en pisos.  ",https://www.diariandorra.ad/nacional/240926/setge-als-apartaments-turistics-fora-llei_158816.html,Setge als apartaments turístics fora de la llei
10,UE,DI20240907060700,DI20240907060700-15974715,"Es aquí on tenen de controlar a les fronteres on arriben per avio o per el mar, son mes rucs que una sabata, en lloc de preguntar a tots els que tenim de il·legals als aeroports, a que biene? Cuantos dias? Muestre billete de vuelta, muestre sus fondos para subsistir, MIRA TU EL GRAN CONTROL QUE TENE LA UE ALS AEROPORTS DE ESPANYA I LA RESTA QUE ES COLENT PER MILS, I DESPRES NATURAMENT TOTA LA COLLA DE ILLEGALS QUE UNS QUANS MILS HAN VINGUT AQUI, PER ON HAN ENTRAR, CAPS DE CONY? Jajaja  ",https://www.diariandorra.ad/nacional/240907/carrils-per-comunitaris-les-dues-fronteres_157664.html,Carrils per a no comunitaris a les dues fronteres
11,UE,DI20240917054300,DI20240917054300-16307943,"Sis mil vots, que si comptes familiars i paniaguados, encara trobo que son pocs. ",https://www.diariandorra.ad/nacional/240917/espot-seguira-passi-passi-amb-l-acord-d-associacio-amb-ue_158256.html,Espot seguirà “passi el que passi” amb l’acord d’associació amb la UE
12,UE,DI20240915061300,DI20240915061300-16054656,"Si si les reserves de Xina ja les voldria EUROPA per ella, per un altre bàndol 3 quartes parts del planeta li deu mils de milions a ls Xina",https://www.diariandorra.ad/opinio/les-set-claus/240915/per-europa-suissa_158139.html,Per una Europa a la Suïssa
13,UE,DI20240905060100,DI20240905060100-15942015,Hautien de tancar les fronteres als andorrans. Posarlis controls de tot tipus i posarlis el gos k olora tabac i diners dins els cotxes i una vinyeta x entrar a destruir la nostra merevellosa espanya,https://www.diariandorra.ad/nacional/240905/reunio-in-extremis-per-evitar-els-controls-fronterers-ue_157537.html,Reunió ‘in extremis’ per evitar els controls fronterers de la UE
14,UE,DI20240923060900,DI20240923060900-16373025,"El titular, tal com està formulat, sembla una mica triomfalista.",https://www.diariandorra.ad/nacional/240923/les-exportacions-als-mercats-americans-i-asiatics-disparen_158625.html,Les exportacions als mercats americans i asiàtics es disparen
15,UE,DI20240909053700,DI20240909053700-15997194,"Ciutadania d’Andorrans, que son els que mes callen.   La majoria que diu que no, no voten.",https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,Espot reconeix “incògnites” amb la UE
16,UE,DI20240917054300,DI20240917054300-16073721,Dons jo crec que no hauria d’esperar a que sortís el NO per a plegar: hauria de fer-ho avui abans de dinar. ,https://www.diariandorra.ad/nacional/240917/espot-seguira-passi-passi-amb-l-acord-d-associacio-amb-ue_158256.html,Espot seguirà “passi el que passi” amb l’acord d’associació amb la UE
17,UE,AL20240920205600,AL20240920205600-225374,Justamenr aixo volem. Estar fora del projecte. Preocupis de la seva europa que andofra no vol associarse a vostes,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”
18,UE,DI20240917054300,DI20240917054300-16073454,Es clar pq en realitat tot es un gran engany i després es faran l'andorrà i llestos. Responsabilitat? Què es això?,https://www.diariandorra.ad/nacional/240917/espot-seguira-passi-passi-amb-l-acord-d-associacio-amb-ue_158256.html,Espot seguirà “passi el que passi” amb l’acord d’associació amb la UE
19,UE,DI20240909053700,DI20240909053700-15994599,Desitjo de tot cor que facin el referèndum d'una vegada que veuran la PATACADA que es donaran quan per una majoria aclaparadora surti NO a la UE.,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,Espot reconeix “incògnites” amb la UE
20,UE,DI20240926060300,DI20240926060300-16669204,"Sense cap mena de dubte, els grans responsables de l'especulació i de la manca d'habitatge. ",https://www.diariandorra.ad/nacional/240926/setge-als-apartaments-turistics-fora-llei_158816.html,Setge als apartaments turístics fora de la llei
21,UE,DI20240925070000,DI20240925070000-16393659,Força Cerni estem amb tu i els teus,https://www.diariandorra.ad/opinio/la-tribuna/240925/andorra-casa-vostra_158763.html,"Andorra, casa nostra"
22,UE,DI20240916054900,DI20240916054900-16062856,quant costarà i qui pagarà deixar la muntanya neta igual com estava abans que es construís el parc animalier?,https://www.diariandorra.ad/parroquies/240916/abans-hi-havia-confusio-molt-gran-sobre-les-activitats-naturland_158188.html,“Abans hi havia una confusió molt gran sobre les activitats de Naturland”
23,UE,DI20240909053700,DI20240909053700-15994376,L'altre dia a Barcelona van detenir tants lladres que no hi cavien a comisaria. Es això el que vol per Andorra senyor Espot?,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,Espot reconeix “incògnites” amb la UE
24,UE,DI20240905060100,DI20240905060100-15945932,Tu el primer. ,https://www.diariandorra.ad/nacional/240905/reunio-in-extremis-per-evitar-els-controls-fronterers-ue_157537.html,Reunió ‘in extremis’ per evitar els controls fronterers de la UE
25,UE,AL20240920205600,AL20240920205600-225375,No vull UE!.,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”
26,UE,DI20240925070000,DI20240925070000-16389067,"Si dius que creus en les institucions europees, paro de llegir directament, i quedes descartat com a persona amb criteri",https://www.diariandorra.ad/opinio/la-tribuna/240925/andorra-casa-vostra_158763.html,"Andorra, casa nostra"
27,UE,DI20240910060100,DI20240910060100-16005516,Un altre viatget de turisme,https://www.diariandorra.ad/nacional/240910/andorra-i-eslovenia-negocien-per-evitar-doble-imposicio_157795.html,Andorra i Eslovènia negocien per evitar la doble imposició
28,UE,DI20240909053700,DI20240909053700-15994637,Quatre famílies riques controlen el país de manera hereditària.,https://www.diariandorra.ad/nacional/240909/espot-reconeix-incognites-amb-ue_157725.html,Espot reconeix “incògnites” amb la UE
29,UE,DI20240916054900,DI20240916054900-16071621,"Creus que aquell projecte t'hagués agradat? Lo únic bo hagués sigut eixugar el deute , la resta un desastre total , xalets , carrers , etc etc a 2000m ? Com us agrada criticar desde el sofà ",https://www.diariandorra.ad/parroquies/240916/abans-hi-havia-confusio-molt-gran-sobre-les-activitats-naturland_158188.html,“Abans hi havia una confusió molt gran sobre les activitats de Naturland”
30,UE,DI20240912164200,DI20240912164200-16030373,"Cuanto antes mejor, si total, va a salir un NO más grande que una catedral e igualmente Andorra entrará en la UE y se venderán a los socialistos europeos.",https://www.diariandorra.ad/nacional/240912/espot-descarta-referendum-ue-per-primavera-2025_157992.html,Espot no descarta el referèndum de la UE per a la primavera del 2025
31,UE,DI20240907060700,DI20240907060700-15975100,No sé si la noticia es una chorrada o la decisión en si. Supongo que dejarán el carril para los ingleses. Pues que sea el izquierdo,https://www.diariandorra.ad/nacional/240907/carrils-per-comunitaris-les-dues-fronteres_157664.html,Carrils per a no comunitaris a les dues fronteres
32,UE,DI20240905060100,DI20240905060100-15939668,"Es l'Acord , ""De"" i ""Per"" la Banca.",https://www.diariandorra.ad/nacional/240905/reunio-in-extremis-per-evitar-els-controls-fronterers-ue_157537.html,Reunió ‘in extremis’ per evitar els controls fronterers de la UE
33,UE,DI20240925070000,DI20240925070000-16394037,"Fa molta ràbia com s'intenta fer política o enfonsar des dels anònims. Ja veus Cerni que despertes temors a la caverna. És una bona senyal, creu-me. I felicitats per un molt bon article, tot i que això no ha estat cap sorpresa.",https://www.diariandorra.ad/opinio/la-tribuna/240925/andorra-casa-vostra_158763.html,"Andorra, casa nostra"
34,UE,DI20240908171000,DI20240908171000-15996761,"Que això vingui dit per grans propietaris sembla un insult per tots els que vivim de lloguer…. Si que venies a solucionar l’habitatge i l’economia en general, però no pas la de tots no, només la vostra.",https://www.diariandorra.ad/nacional/240908/espot-sobre-l-habitatge-els-ciutadans-volen-viure-pis-on-paguin-lloguer-assequible_157712.html,Espot anuncia 'dos o tres' edificis més de lloguer assequible a les parròquies centrals
35,UE,DI20240907060700,DI20240907060700-15987253,"no home no, això surt ara perquè volen que votem si a l'acord d'associació, rès mes... NO et preocupis que pocs problemes tenen amb Africa com per posar-se a demanar papers las andorrans",https://www.diariandorra.ad/nacional/240907/carrils-per-comunitaris-les-dues-fronteres_157664.html,Carrils per a no comunitaris a les dues fronteres
36,UE,DI20240926060300,DI20240926060300-17066980,"Si la meva empresa soc jo mateix i treballo desde casa, sense tenir mercaderies, perqué haig de pagar 260€ cada mes a un cowork per domiciliar el comerç? Tinc el comerç domiciat on treballo i visc. A Andorra veig encara molt Pagés i no están treballant la terra",https://www.diariandorra.ad/nacional/240926/setge-als-apartaments-turistics-fora-llei_158816.html,Setge als apartaments turístics fora de la llei
37,UE,DI20240925070000,DI20240925070000-16392214,"Anem de mal en pitjor. Els perroflautes happys que n’hi ha pocs que treballen, i van molt al gimnàs. Molta falsetat, populisme i cap proposta real.Feu molta por.",https://www.diariandorra.ad/opinio/la-tribuna/240925/andorra-casa-vostra_158763.html,"Andorra, casa nostra"
38,UE,DI20240908104400,DI20240908104400-15986530,+8 Tota la familly ni locos europa,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,"Ensenyat demana un debat més ""racional"" per l'acord d'associació"
39,UE,DI20240928055300,DI20240928055300-19107463,Espot ja totalment alineat i venut als interessos de la Unió Europea i el globlisme…,https://www.diariandorra.ad/nacional/240928/espot-defensa-l-onu-res-justifica-l-atac-civils_158930.html,Espot defensa a l’ONU que “res no justifica l’atac a civils”
40,UE,DI20240925070000,DI20240925070000-16393425,"Està creixent molt ràpid. Potser una mica massa ràpid, però la única alternativa plausible i realista de GOVERN és amb l'Escalé. És simplement així.         L'article ben escrit- esperem fets.",https://www.diariandorra.ad/opinio/la-tribuna/240925/andorra-casa-vostra_158763.html,"Andorra, casa nostra"
41,UE,DI20240908104400,DI20240908104400-15993737,"Aquestos tenen de dretes…..     un partit que expropia,  amb departament d’igualtat i llenguatge inclusiu, amb imporst al carburant per tenir autobusos gratuïts, i controla sous de la empreses privades, ajudes i subvencions per tothom, etc….   Mooolt de dretes !",https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,"Ensenyat demana un debat més ""racional"" per l'acord d'associació"
42,UE,AL20240926204600,AL20240926204600-226302,"Aquest personatge no coneix l'humiltat. Donde no hay, no busques que en diuen.",https://www.altaveu.com/actualitat/afers-exteriors/espot-confia-en-suport-espanya-portugal-evitar-acord-associacio-es-declari-mixt_60630_102.html,Espot confia en el suport d’Espanya i Portugal per evitar que l’acord d’associació es declari mixt
43,UE,DI20240914055900,DI20240914055900-16046900,És broma?,https://www.diariandorra.ad/opinio/les-set-claus/240914/napols_158085.html,Nàpols
44,UE,DI20240921113200,DI20240921113200-16343929,I segueixen amb la campanya de la por.,https://www.diariandorra.ad/nacional/240921/strzoda-defensa-l-acord-d-associacio-i-alerta-dels-riscos-rebutjar_158527.html,Strzoda defensa l’acord d’associació i alerta dels riscos de rebutjar-lo
45,UE,DI20240912055900,DI20240912055900-16025381,"Votar NO a l'acord d'associació és acabar amb el senyor Espot i aquest desgavell, i la Conxita Marsol ho sap molt bé.",https://www.diariandorra.ad/parroquies/240912/l-executiva-da-vol-copsar-les-inquietuds-dels-militants_157947.html,L’executiva de DA vol copsar les inquietuds dels militants
46,UE,DI20240917062000,DI20240917062000-16072449,"Clar que si Carinne, ",https://www.diariandorra.ad/nacional/240917/ae-pregunta-govern-aplicara-l-acord-amb-ue-abans-votar_158277.html,AE pregunta a Govern si aplicarà l’acord amb la UE abans de votar-se
47,UE,DI20240908104400,DI20240908104400-15985152,+1,https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,"Ensenyat demana un debat més ""racional"" per l'acord d'associació"
48,UE,AL20240920205600,AL20240920205600-225466,El tsunami d inmigració ja el tením.Lo següent serà l ' invasió extraterrestre,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”
49,UE,DI20240908104400,DI20240908104400-15985228,"Mentre quatre famílies riques segueixin manant al país, la “racionalitat” de l’acord serà més que opinable. És la pura realitat.",https://www.diariandorra.ad/nacional/240908/sindic-destaca-l-acord-d-associacio-amb-ue-seu-discurs-amb-motiu-dia-meritxell_157702.html,"Ensenyat demana un debat més ""racional"" per l'acord d'associació"
50,pensions,DI20240927111800,DI20240927111800-17081251,"20 km cap al sud i ja podeu abortar tantes vegades com volgueu, fins que se us caigui la matriu a terra",https://www.diariandorra.ad/nacional/240927/accio-feminista-reclama-despenalitzacio-l-avortament-amb-cobertura-sanitaria_158906.html,Acció Feminista reclama la despenalització de l'avortament amb cobertura sanitària
