index,article_id,comment_id,article_link,topic,article_type,article_title,comment_content
0,DI20240928055300,DI20240928055300-19060429,https://www.diariandorra.ad/nacional/240928/espot-defensa-l-onu-res-justifica-l-atac-civils_158930.html,UE,article,Espot defensa a l’ONU que “res no justifica l’atac a civils”,Això del atac a civils inclou lo que heu fet a la Vanessa?
1,AL20240920205600,AL20240920205600-225417,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"On estan aquestes garanties? Jo no les vec enlloc sl texte. L’UE, institució del que no es pot fiar, sino mireu lo que esta passant a Hongria ara mateix."
2,DI20240918054400,DI20240918054400-16312485,https://www.diariandorra.ad/nacional/240918/espot-avisa-intervencio-dels-pisos-te-marxa-enrere_158321.html,UE,article,Espot avisa que la intervenció dels pisos no té marxa enrere,Ben fet!.
3,DI20240914061600,DI20240914061600-16043979,https://www.diariandorra.ad/nacional/240914/andorra-i-ue-avancen-l-acord-per-control-les-fronteres_158095.html,UE,article,Andorra i la UE avancen en l’acord per al control de les fronteres,"En lloc de tocar la flauta toquen la guitarra, però nosaltres no som rates ni  tampoc rucs, encara que s'ho pensin. "
4,AL20240920205600,AL20240920205600-225368,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,"No...si ja sabem que no hi hauria un tsunami de migració, el que ens preocupa és el tipus d'immigració...i no poguer fotre fora als delinqüents que trencarien la pau social del pais.."
5,DI20240923115700,DI20240923115700-16366661,https://www.diariandorra.ad/nacional/240923/pib-nominal-creix-4-8-segon-trimestre-2024_158648.html,UE,article,"El PIB nominal creix un 4,8% el segon trimestre del 2024","SOM EL PUNTAL D'EUROPA, QUE SERIA SENSE NOSALTRES? RES."
6,AL20240925104400,AL20240925104400-226088,https://www.altaveu.com/actualitat/politica/mes-174000-euros-cub-pantalles-led-resoldre-dubtes-acord-associacio_60571_102.html,UE,article,Més de 174.000 euros per a un cub de pantalles LED per resoldre els dubtes de l’acord d’associació,"Si surt ""NO"" QUI ens to4nara els dinera nostres? I xk un stand x vendre el.si i no una x vendre el no? Xk fan servir els meus diners x comprar vots parcialment? Si es fa una partida ha de ser tant x el si com x el.no. per mi aixo es delicte"
7,AL20240920205600,AL20240920205600-225364,https://www.altaveu.com/actualitat/politica/elisi-assegura-acord-associacio-no-comportara-tsunami-immigracio_60482_102.html,UE,article,L’Elisi assegura que l’acord d’associació “no comportarà un tsunami d’immigració”,Qualsevol persona que pugui parlar anglès fins a cert punt i estar al dia de les notícies i els informes de Brussel·les sap el que representa la UE. La UE significa: - Centralisme - Burocràcia - Mendacitat i doble moral - Migració incontrolada - Renunciar a la pròpia identitat - impostos i impostos elevats - Partidaris de les grans corporacions - Política que la fan persones que no tenen ni idea de per què són a l'oficina en primer lloc  Andorra necessita la UE? NO! Perquè Andorra perirà a la UE!
8,DI20240926060300,DI20240926060300-17068623,https://www.diariandorra.ad/nacional/240926/setge-als-apartaments-turistics-fora-llei_158816.html,UE,article,Setge als apartaments turístics fora de la llei,A la vuitena parròquia d'Andorra hi ha vivenda més barata i no cal (pel moment) pagar impostos. 
9,DI20240916054900,DI20240916054900-16064890,https://www.diariandorra.ad/parroquies/240916/abans-hi-havia-confusio-molt-gran-sobre-les-activitats-naturland_158188.html,UE,article,“Abans hi havia una confusió molt gran sobre les activitats de Naturland”,Eaaa!! Vinga guerrers de teclat! Cobards darrera d'un teclat que tenen les fórmules màgiques però no els collons de jugar-s'hi el coll. A veure quan aneu al Comú i us presenteu com alternativa al Ajona. Noooo... millor quedar-vos a casa vomitant odi sobre aquells que sí s'arrisquen... Si fos per vosaltres estariem visquent a les coves encara.
