comment_id,article_id,comment_author,comment_datetime_displayed,comment_datetime,comment_content,comment_in_answer_to,comment_likes,comment_dislikes
AL20240927195300-226534,AL20240927195300,Fent mèrits per liderar la gran dreta.,Fa 5 hores,,"Majoral, el llop amb pell de corder!",,8,5
AL20240927195300-226545,AL20240927195300,Seneca,Fa 5 hores,,"Com que a Andorra ja no hi ha secret bancari, el govern hauria de comptar amb gent honorable seriosa que investigui l'origen dels diners que serveixen per comprar  pisos per invertir, perquè als seus països hi ha okupes i la rendibilitat dels seus diners, també dels andorrans que estan al govern o a l'oposició q  estan implicats en aquest negoci, sense veure les conseqüències per a la població sense disposar de pisos de lloguer per viure-hi i contribuir al desenvolupament cultural d'un país atribuint i garantint serveis tècnics, tant. en la construcció i en la continuïtat de l'ensenyament dels seus fills i dels seus ingressos el senyor Majoral, com alguns altres, s'hauria de retre comptes, en el cas de Sant Julià, el poble de Sant Juliá es va despertar per sempre de la seva feina oportunista en benefici propi. Com a polític està cremat i el seu equip també. Les inversions que va fer amb els diners del poble n'és un exemple molt latent El negoci de fer pisos per vendre i després quedar buits és una mala cosa per a Andorra amb un futur irreparable.",,11,5
AL20240927195300-226548,AL20240927195300,RONCA LAUREDIA,Fa 5 hores,,"Prou ja de fer-li les culpes al Majoral!! Aquest senyor per lo bo o lo dolent ja no es el Consol desde fa ja casi 10 mesos. Aquest sento es ingenier de professio amb una ingeneria a St. Julia, llavors quin seria el problema del seu interes amb un possible privat en participar i assumir l ingeneria del projecte?. Pareu ja d’exusar-vos en i tu mas o lo que van fer o no els altres i comenceu a assumir i demostras d’una vegada DL!!  Desperteu jaaaaaa!!!!",,6,21
AL20240927195300-226511,AL20240927195300,Lladres,Fa 7 hores,,"Com a lauredià no m'agrada tenir l'edifici de CATSA en l'estat actual però encara m'agrada menys la idea de perdre'l! Una oportunitat perduda tant per al país com per la parròquia no aprofitar l'estructura i adequar-la. Un cop molt baix de Majoral, participant en la compravenda per ""perjudicar"" a Desperta Lauredia dient que ells han perdut l'edifici. Defensar l'actuació de Majoral comparant-la amb el patrocini dels Ràngers SI que és demagògia barata. El sr Majoral és indefensable.",,26,10
AL20240927195300-226550,AL20240927195300,Arnau,Fa 3 hores,,"Comparació estúpida , estreta de ment i còmplice d'un acte partidista de defensa o indefendible. Estic amb tu.",,5,2
AL20240927195300-226487,AL20240927195300,Lauredian's,Fa 11 hores,,"Vja sembla que l'opinió de l'altre dia no anava gens desencaminada. El personatge exconsol  diu una cosa al Consell de Comú. I per darrera fa un altre. Esta be votar algú que ca contra els interessos parroquials i posa davant seu els interessos particulars. Que es molt lícit, però tindrie que dimitir en el mateix instant. No pot pregonar una cosa i anar contra la parròquia.",,41,12
AL20240927195300-226429,AL20240927195300,no u diguis a ningu,Fa 22 hores,,"""blanco y en botella""",,46,16
AL20240927195300-226427,AL20240927195300,Lauredians,Fa 22 hores,,"Cònsol fa un any, conseller de la minoria..això té un nom: conflicte d’interessos! Aquest càrrec no pot continuar al Comú. L’edifici CATSA ha de quedar per la parròquia!",,68,22
AL20240927195300-226528,AL20240927195300,Lauredian's,Fa 7 hores,,Sisi fas bé en comparar el futbol sala. Recordo que el comú anterior va regalar el futbol sala a la FAF.  I tal com dius és lo mateix promocionar un esport per una quantitat que no pas a de les 4 o 5 xifres. I lo de aquest personatge va per xifres molt més grans 6 cap a dalt. Majoral dimiteix o fes una roda de premsa per explicar les teves mentides.,,11,11
AL20240927195300-226498,AL20240927195300,Difamador,Fa 10 hores,,Hi ha una diferència abismal en participar d’un projecte per interès personal amb un gran benefici econòmic al darrere com l’excònsol Majoral o participar en un projecte d’interès nacional desinteressadament on hi ha administracions i fundacions. El comportament del Majoral és completament immoral i això és indubtable. Prou de difamar,,29,12
AL20240927195300-226493,AL20240927195300,CONFLICTE DE QUE??,Fa 11 hores,,"Jo no m’atreveria a parlar tant lleugerament de conflicte d’interessos quan fa no gaire, el Sr. Cairat pare sortia amb una foto ben maca davant de casa comuna vinculat com a part important  en el conveni sigant entre Govern i Comú amb el projecte dels famosos pisos tutelats. Ahh!! i tambe quan fa no gaire el Comu de Sant Julia va patrocinar al Rangers per anar a jugar a Europa, quan per tots es sabut que l’entrenador es el marit de la Consol i un dels jugadors es el Conseller d’esports per exemple i que jo sapiga, no estaven ni registrats a la parroquia. En fi, que has de tenir el “pompis” ben net per poder parlar de lo que son o no son conflictes d’interessos. I si val per uns, tampoc entendria per que no per uns altres. Demagogia politica, d’aixo si que sabeu tots !!!!",,22,38
AL20240927171200-226540,AL20240927171200,Eva,Fa 5 hores,,Amb aquestes pintes poca cosa més en donaran !!!! Deu neu,,0,0
AL20240927171200-226460,AL20240927171200,Antonio Cruz Varela,Fa 13 hores,,No pareu de viatjar. Quina barra,,7,1
AL20240927171200-226549,AL20240927171200,Manelet,Fa 5 hores,,I en grups petitets,,0,0
AL20240927171200-226442,AL20240927171200,Mr. Jo,Fa 13 hores,,"A cremar diners de Setap 365 fent Copes del Món s’ha dit per mantenir tota la colla d’amiguets llepaculs. Senyors del Comú, gent de La Massana, de Canillo, els amos del Credit, al que ha IEN de fer fora era al d’Ensisa. Estem a la ruina, amb un deute escandalòs, acumulant pèrdues, i segueix gastant com si res. Acabarem en mans dels Viladomat i quan això arribi ens confitarem les copes dels nassos. És un escàndol!",,6,1
AL20240927171200-226415,AL20240927171200,Fiu,Fa 1 dia,,"Per compensar la marranada, no?",,7,0
AL20240927164500-226522,AL20240927164500,El mestre,Fa 7 hores,,"Carles no ens vinguis a donar lliçons, que els que hem convincut a l escola amb la gent del nord dEspaña i Portugal som nosaltres, mentre tu deuries estudiar a alguna uni privada, molt lluny d Andorra.",,3,0
AL20240927164500-226506,AL20240927164500,fart de tot,Fa 9 hores,,"“enriquiment cultural que considerem que ha reforçat la societat andorrana, fent-la més diversa i cosmopolita”. Es fan el modernos i aperturistes fora del pais. Aqui és una part de la mentalitat andorrana la discriminació, el despreci per allò diferent, el immigrant mai estará integrat. Sempre et farán sentir que no ets d'aqui. Pot ser que per una questió de necessitat, la feina per exemple, conviuen amb tú, però en el fons del seus cors, no t'accepten. No et volen, i fins i tot, necessitant m'a d'obra forània, així i tot, mai serás d'aqui.",,4,0
AL20240927164500-226560,AL20240927164500,Observador,Fa 3 hores,,"I aixi legislen. Per exemple ""inversio estrangera ja es discriminatoti"" o la.figura dels prestanoms etc, el no poder votar gins als 20 anys, tot son lleis x crear dos nivells. Si compre un pis i els vens (si ets andorra cap plusvalua) (si ets de fora pagues) tot ho tenen disenyat x apretar als de fora gins que un dia marxin i aixi haber viscut de la seva f3ina i exprimirlo x donarli una pensio de merda (menys de la meitat de la que cobra un andorra 90%funcionaris sense mai haber fotut res).",,2,0
AL20240927164500-226395,AL20240927164500,Benet,Fa 1 dia,,"Si,al xicot d'Encamp li ha falta afegir que darrerament s'ha substituït la immigració portuguesa i espanyola, però sortosament i com a mostra de multiculturalitat el gruix de nouvinguts són latams, com exemple de la nostra abnegació per ser considerat un país iberoamericà..(i tot això perque el seu partit polític no va caure en les conseqüencies de la seva obertura a petits taurons internacionals desitjosos d'una baixa tributació i d'una vinguda que ha provocat una espiral a l'alça del preu de la vivenda, lloguer o compra, i una escasa resposta per part del govern, i clar, hi ha immigrants d'Europa que ni intenten venir i s'han de buscar en d'altres contrades, a bon preu, això si).",,20,1
AL20240927164500-226424,AL20240927164500,Jo crec que la gran visera que porta no li deixa veure la realitat,Fa 23 hores,,"Si tenim en compte segon el diari el nacional de catalunya en el apartat ON ECONOMÍA,  aquest senyor està fent els seus PINITOS amb la super immobiliària que a comprat,  imaginem per especular i seguir continuant am la mateixa línea, per el que fa amb el enriquiment cultural jo diria que és més aviat invasió cultural que elimina la nostre cultura, ja que la llengua oficial està desapareixen totalment del mapa de andorrà, al igual que les nostres costums PER ADOPTAR EL TERMO DE MATE, LES ENCHILADES I QUESADILLAS, no se'l veu gaire amb ell interactuant amb ningú d'aquestes comunitats més enllà del nostre estimat casi conseller EL PONCE molt ven rebut i encara més escoltat per tota la elit de DA, enriquiment cultural ho diu ell ja que tota aquesta gent viuen i es mouen dins dels seus guetos, ELS RESULTATS D'AQUEST ENRIQUIMENT CULTURAL ESTANT ENCARA PER VEURE SI SERA ENRIQUIMENT HO UN BON MAL DE CAP AMB SUBVENCIONS I SEGURETAT CIUTADANA",,12,1
AL20240927131900-226399,AL20240927131900,Endolls,Fa 1 dia,,La dona del consol de Canillo de passeig,,1,1
AL20240927131900-226386,AL20240927131900,NO FALTA AMBAIXADOR AQUÍ?,Fa 1 dia,,"Ja es extrany que DA no proclami a ningun pota negre lliure ambaixador aquí, serà que poder a hores d'ara ja no queda ningú per colocar i am TXETXÈNIA van fer el ple",,0,0
AL20240927114200-226389,AL20240927114200,On para Llumeneres?,Fa 1 dia,,No es el Comú qui ha de subvencionar un esdevenimebt com aquest sino un ministeri (Esports o Turlsme) perquè l'impacte es nacional,,10,2
AL20240927114200-226387,AL20240927114200,"Ni el trial , una llàstima",Fa 1 dia,,"Aquest talibanisme no porta enlloc. Ara son el Comú, no uns tertulians de bar ... una mica de responsabilitat.... i que no s'escudin en temes mediambientals, son només de politica per la politica.",,10,7
AL20240927114200-226385,AL20240927114200,Vassilious D,Fa 1 dia,,Quina pena! Jopeta!,,5,4
AL20240927114200-226380,AL20240927114200,Jordi,Fa 1 dia,,La muntanya ho agrairà!,,18,5
AL20240927114200-226366,AL20240927114200,motomami,Fa 1 dia,,que treballi el Bare Nostrum vol dir tot el poble ?,,17,7
AL20240927114200-226391,AL20240927114200,Marc,Fa 1 dia,,"No se tu, pero jo he vist el Muntanya, Eurocenter, La Passa, Vini Vidi Vici, Roses, Principat, Venecia plens aquell cap de setmana. Jo crec que doncs no es nomes el Bare Nostrum, et recordo que a la zona també hi son Art i pa i El Cantabric.",,10,2
AL20240927114200-226355,AL20240927114200,Oscar,Fa 1 dia,,Sant julia de loria te dos coses! La festa major i el mundial de trial! El comerciants del poble esperen aquestes dates cada any!! Ara ja nomes queda la festa major! Anims Cairat!! Fem un mundial de pasejar animals? Es el teu gran pasión!!!!,,20,6
AL20240927114200-226343,AL20240927114200,Jordi,Fa 1 dia,,"Ja aquest ultim trial, aquest nou comú nomes s’ha dedicat a posar-hi traves… es veia vindre aquesta situacio lamentable.. no calen auditories per visualitzar l’impacte economic als hotels, restaurants i establiments de la parroquia durant el cap de setmana del trial, nomes passejant pel carrer veies Sant Julià plena de gent, entre participants, familiars i turistes del trial la parroquia estava plena i costaba veure un bar que nomes passejant pel tingues la terrasa plena.. Aquest comú es basa en no fer res i eliminar les coses que funcionen sembla..",,21,5
AL20240927114200-226349,AL20240927114200,Jordi,Fa 1 dia,,"Poc vas passejar pel poble, perque ni lloc per dinar hi havia per molt que plogues.",,16,0
AL20240927114200-226348,AL20240927114200,mm,Fa 1 dia,,Va ploure tot el cap de setmana i el poble estava buit.,,3,13
AL20240927114200-226342,AL20240927114200,Sisco,Fa 1 dia,,"Millor, menys muntanya destrossada, ni les bicis de Pal haurien d' aparèixer!",,24,16
AL20240927114200-226341,AL20240927114200,W&F,Fa 1 dia,,I tan debò no tinguin l'autorització...prou barbàrie!,,23,19
AL20240927114200-226340,AL20240927114200,Marteta,Fa 1 dia,,Una altra cairatada més!!!,,18,4
AL20240927091300-226393,AL20240927091300,Sr Bisbeee,Fa 1 dia,,Doncs Andorra prohibeix els pisos de final feliz.I a la Seu n està plé.Foteu riure,,4,2
AL20240927091300-226457,AL20240927091300,X,Fa 13 hores,,"A Andorra es fan servir apartaments turístics com pisos de “final feliç vom dius tu”, des de sempre. Puja tot tipus de prostitució de fora i treballa així a part de la que hi ha fixe al país. He treballat en apartaments turístics i aixó era l’ordre del dia. I en época covid ja ni t’explico. Desperteu! O que us pensaveu??",,5,4
AL20240927091300-226376,AL20240927091300,jose luis,Fa 1 dia,,"Vull que algú m'expliqui el que aquestes dones demanen, si tota la culpa és d'elles per quedar-se prenyades i no prendre mesures, jo crec que els altres no els hem de pagar l'avortament si la culpa és d'elles.",,14,18
AL20240927091300-226474,AL20240927091300,hah,Fa 12 hores,,No alimentin al troll. Moltes gràcies per la seva cooperació.,,0,2
AL20240927091300-226394,AL20240927091300,CLAR QUE SI HOME!,Fa 1 dia,,"Perquè la dona es queda prenyada sola, no? Per què les mesures anticonceptives l'ha de prendre la dona i no pas l'home? A part, l'avortament no només és per un embaràs no desitjat, també és per malformació del fetus, també és perquè la vida del nadó i de la dona pot corre risc, també per violacions perquè si rei, aquí al país també passa això. A veure sí, surti'm una mica d'aquesta borbolla. Si almenys fos legal... ja seria un gran pas.",,14,7
AL20240927091300-226372,AL20240927091300,Aneu al vostre país!,Fa 1 dia,,"Quina mandra escoltar sempre el mateix! Torneu a casa vostra, colla de feministes, i no molesteu a Andorra. Andorra té unes lleis i no es canviaran per quatre ""fulanes"" que volen que els governs els hi paguin acabar amb el fruit dels seus actes sexuals. A Andorra és defensa la vida i no s'assassina ningú perquè les ""mares"" prefereixin anar de llit en llit que ocupar-se dels seus fills, malgrat no sàpiguin ni qui són els seus pares... Prou avortaments, prou feministes, prou immigrants. A Andorra els andorrans sempre hem viscut bé fins que ha arribat tanta xusma d'importació.",,97,31
AL20240927091300-226471,AL20240927091300,Partit polític,Fa 12 hores,,"A veure si surt un partit polític amb gent con tú, parlant clar i prohibint tanta merda. De dretes de veritat. No quedant bé amb tothom com lo que hi ha ara. Votaríem massivament. De fet només votem els andorrans i aquestes feministes són totes d'esquerres i de fora. Va, a veure si es munta un partit de dretes i andorrà de veritat! Jo us voto!",,25,2
AL20240927091300-226466,AL20240927091300,Ja era hora!!,Fa 13 hores,,Per fi algú que diu les coses clares! Estic absolutament d'acord amb el teu comentari. Tot això ha vingut amb la gentussa que ha vingut de fora. Aquí estàvem molt tranquils. Gràcies per parlar clar. Som molts els que pensem com tú! Força!,,34,6
AL20240927091300-226458,AL20240927091300,Esgarrifances,Fa 13 hores,,"Tota la raò tens “Molt trist has d’estar”, esgarrifances em fa aquest comentari…espero no estar a prop d’aquesta persona mai a la vida.",,1,62
